Hard08Player: SeanTheCreator	 Score: 8
Medi08Player: SeanTheCreator	 Score: 8
Easy08Player: SeanTheCreator	 Score: 8
Hard14Player: Carey	 Score: 14
Hard15Player: fberg	 Score: 15
Hard04Player: 	 Score: 4
Hard01Player: 	 Score: 1
Hard00Player: 	 Score: 0
Hard00Player: 	 Score: 0
Easy02Player: THE GOAT AANAV	 Score: 2
Hard00Player: eb 	 Score: 0
Hard02Player: peter tt	 Score: 2
Hard03Player: TANNERSHGAHHDJFG	 Score: 3
Hard00Player: Sir Lancelot	 Score: 0
Medi07Player: /n/n/n/n/n/n/	 Score: 7
Medi16Player: jdfklasjkldkfjas	 Score: 16
Medi08Player: bye	 Score: 8
Hard10Player: Tee	 Score: 10
Hard11Player: Tee	 Score: 11
Medi01Player: OlexioD	 Score: 1
Hard09Player: RandomPerson	 Score: 9
Medi09Player: Edison's toes	 Score: 9
Medi05Player: Morgan	 Score: 5
Hard14Player: Audrey	 Score: 14
Easy04Player: irena	 Score: 4
Hard04Player: irena	 Score: 4
Hard05Player: Woohoo	 Score: 5
Hard00Player: eh	 Score: 0
Hard08Player: 	 Score: 8
